	Params	Ants_porcent	Number_Iterations	Strategy_Pheromone_Method	Bests_Results	Number_times_got_best_solution
52	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2129.6	1
54	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2132.0	1
56	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2154.4	1
62	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2137.7	1
75	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2123.7	1
81	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2166.2	1
94	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2143.8	1
98	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2153.8	1
104	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2141.9	1
105	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2131.7	1
107	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2127.6	1
114	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2166.7	1
116	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2142.6	1
120	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2129.2	1
121	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2125.3	1
122	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	EAS	2132.3	1
127	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2136.6	1
1	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2141.4	0
2	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2160.9	0
3	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2170.9	0
4	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2144.2	0
7	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2155.2	0
8	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2181.5	0
9	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2163.6	0
10	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2172.2	0
11	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2188.3	0
12	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2156.9	0
14	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2166.6	0
15	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2161.5	0
18	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2168.8	0
19	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2166.4	0
20	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2145.6	0
21	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2142.5	0
23	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	ASR	2157.3	0
24	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2238.7	0
25	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	ASR	2188.3	0
26	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2234.4	0
28	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	ASR	2145.8	0
30	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	ASR	2163.0	0
34	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2172.6	0
38	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2143.1	0
42	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2172.9	0
43	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2169.6	0
45	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2147.2	0
48	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	ASR	2149.5	0
53	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2151.5	0
55	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2151.0	0
57	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	ASR	2159.0	0
